N,P,K,temperatura,umidade,ph,precipitacao,indice_sucesso,tipo_temperatura,tipo_solo,solo_nutrientes,tipo_cultura,rotulo
69,46,41,"23,64","80,29","5,01","263,11","94,37",Moderado,Ácido,Alto,Grão,Arroz
91,56,37,"23,43","80,57","6,36","269,5","90,65",Moderado,Neutro,Alto,Grão,Arroz
61,52,41,"24,98","83,89","6,88","204,8","90,59",Moderado,Neutro,Alto,Grão,Arroz
67,45,38,"22,73","82,17","7,3","260,89","93,19",Moderado,Neutro,Alto,Grão,Arroz
79,42,37,"24,87","82,84","6,59","295,61","91,52",Moderado,Neutro,Alto,Grão,Arroz
78,43,42,"21,32","83,0","7,28","192,32","92,2",Moderado,Neutro,Alto,Grão,Arroz
75,54,36,"26,29","84,57","7,02","257,49","91,31",Moderado,Neutro,Alto,Grão,Arroz
97,36,45,"22,23","81,86","6,94","278,08","86,16",Moderado,Neutro,Alto,Grão,Arroz
67,47,44,"26,73","81,79","7,87","280,4","90,02",Moderado,Alcalino,Alto,Grão,Arroz
73,35,38,"24,89","81,98","5,01","185,95","88,93",Moderado,Ácido,Alto,Grão,Arroz
77,36,37,"26,88","81,46","6,14","194,58","88,8",Moderado,Neutro,Alto,Grão,Arroz
81,41,38,"22,68","83,73","7,52","200,91","93,19",Moderado,Alcalino,Alto,Grão,Arroz
68,57,43,"26,09","80,38","5,71","182,9","87,08",Moderado,Neutro,Alto,Grão,Arroz
72,45,35,"25,43","82,95","5,76","195,36","91,17",Moderado,Neutro,Alto,Grão,Arroz
61,53,43,"26,4","81,06","6,35","223,37","89,8",Moderado,Neutro,Alto,Grão,Arroz
67,43,39,"26,04","84,97","6,0","186,75","89,65",Moderado,Neutro,Alto,Grão,Arroz
67,58,39,"25,28","80,54","5,45","220,12","90,69",Moderado,Ácido,Alto,Grão,Arroz
66,60,38,"22,09","83,47","6,37","231,74","90,29",Moderado,Neutro,Alto,Grão,Arroz
82,43,38,"23,29","81,43","5,11","242,32","96,29",Moderado,Ácido,Alto,Grão,Arroz
84,50,44,"25,49","81,41","5,94","182,65","91,35",Moderado,Neutro,Alto,Grão,Arroz
81,53,42,"23,68","81,04","5,18","233,7","96,55",Moderado,Ácido,Alto,Grão,Arroz
91,50,40,"20,82","84,13","6,46","230,22","93,96",Moderado,Neutro,Alto,Grão,Arroz
93,53,38,"26,93","81,91","7,07","290,68","88,39",Moderado,Neutro,Alto,Grão,Arroz
90,44,38,"23,84","83,88","7,47","241,2","95,07",Moderado,Neutro,Alto,Grão,Arroz
81,45,35,"26,53","80,12","6,16","218,92","93,18",Moderado,Neutro,Alto,Grão,Arroz
78,40,38,"26,46","83,86","7,55","248,23","93,05",Moderado,Alcalino,Alto,Grão,Arroz
60,51,36,"22,7","82,81","6,03","257,0","90,76",Moderado,Neutro,Alto,Grão,Arroz
88,46,42,"22,68","83,46","6,6","194,27","92,96",Moderado,Neutro,Alto,Grão,Arroz
93,47,37,"21,53","82,14","6,5","295,92","90,1",Moderado,Neutro,Alto,Grão,Arroz
60,55,45,"21,41","83,33","5,94","287,58","85,66",Moderado,Neutro,Alto,Grão,Arroz
78,35,44,"26,54","84,67","7,07","183,62","87,27",Moderado,Neutro,Alto,Grão,Arroz
65,37,40,"23,36","83,6","5,33","188,41","89,26",Moderado,Ácido,Alto,Grão,Arroz
71,54,16,"22,61","63,69","5,75","87,76","92,33",Moderado,Neutro,Alto,Grão,Milho
61,44,17,"26,1","71,57","6,93","102,27","84,67",Moderado,Neutro,Alto,Grão,Milho
80,43,16,"23,56","71,59","6,66","66,72","88,37",Moderado,Neutro,Alto,Grão,Milho
73,58,21,"19,97","57,68","6,6","60,65","86,23",Moderado,Neutro,Alto,Grão,Milho
61,38,20,"18,48","62,7","5,97","65,44","85,32",Moderado,Neutro,Alto,Grão,Milho
68,41,16,"21,78","57,81","6,16","102,09","86,43",Moderado,Neutro,Alto,Grão,Milho
93,41,17,"25,62","66,5","6,05","105,47","84,99",Moderado,Neutro,Alto,Grão,Milho
89,60,19,"25,19","66,69","5,91","78,07","89,14",Moderado,Neutro,Alto,Grão,Milho
76,44,17,"20,42","62,55","5,86","65,28","89,8",Moderado,Neutro,Alto,Grão,Milho
67,60,25,"24,92","66,79","5,75","109,22","82,2",Moderado,Neutro,Alto,Grão,Milho
70,44,19,"23,32","73,45","5,85","94,3","91,44",Moderado,Neutro,Alto,Grão,Milho
90,49,21,"24,84","68,36","6,47","74,05","91,4",Moderado,Neutro,Alto,Grão,Milho
62,52,16,"22,28","58,84","6,97","63,87","86,41",Moderado,Neutro,Alto,Grão,Milho
92,44,16,"18,88","65,77","6,08","94,76","87,48",Moderado,Neutro,Alto,Grão,Milho
66,54,21,"25,19","60,2","5,92","72,12","88,72",Moderado,Neutro,Alto,Grão,Milho
63,58,22,"18,25","55,28","6,2","63,72","81,95",Moderado,Neutro,Alto,Grão,Milho
70,47,17,"24,61","70,42","6,6","104,16","88,66",Moderado,Neutro,Alto,Grão,Milho
61,41,17,"25,14","65,26","6,02","76,68","87,82",Moderado,Neutro,Alto,Grão,Milho
66,53,19,"23,09","60,12","6,03","65,5","89,66",Moderado,Neutro,Alto,Grão,Milho
74,55,19,"18,05","62,89","6,29","84,24","92,37",Moderado,Neutro,Alto,Grão,Milho
77,57,21,"24,93","73,8","6,55","79,74","90,76",Moderado,Neutro,Alto,Grão,Milho
99,50,15,"18,15","71,09","5,57","88,08","85,53",Moderado,Neutro,Alto,Grão,Milho
74,56,22,"18,28","66,66","6,83","80,98","90,53",Moderado,Neutro,Alto,Grão,Milho
83,45,21,"18,83","58,75","5,72","79,75","91,41",Moderado,Neutro,Alto,Grão,Milho
100,48,16,"25,72","67,22","5,55","74,51","86,85",Moderado,Neutro,Alto,Grão,Milho
79,51,16,"25,34","68,5","6,59","96,46","90,29",Moderado,Neutro,Alto,Grão,Milho
94,39,18,"23,89","57,49","5,89","102,83","85,15",Moderado,Neutro,Alto,Grão,Milho
75,49,15,"21,54","71,51","5,92","102,49","89,42",Moderado,Neutro,Alto,Grão,Milho
78,48,22,"23,09","63,1","5,59","70,43","94,09",Moderado,Neutro,Alto,Grão,Milho
87,54,20,"25,62","63,47","6,58","108,83","88,38",Moderado,Neutro,Alto,Grão,Milho
87,35,25,"21,45","63,16","6,18","65,89","84,1",Moderado,Neutro,Alto,Grão,Milho
63,43,19,"18,52","55,53","6,64","90,99","87,75",Moderado,Neutro,Alto,Grão,Milho
84,57,25,"22,54","67,99","6,49","64,41","86,47",Moderado,Neutro,Alto,Grão,Milho
64,35,23,"23,02","61,89","5,68","63,04","84,16",Moderado,Neutro,Alto,Grão,Milho
60,46,22,"24,89","65,61","6,63","87,93","90,88",Moderado,Neutro,Alto,Grão,Milho
98,44,21,"25,77","74,09","6,52","107,49","83,83",Moderado,Neutro,Alto,Grão,Milho
75,56,18,"19,4","62,36","5,7","60,95","87,69",Moderado,Neutro,Alto,Grão,Milho
86,55,21,"21,54","59,64","6,8","109,75","88,02",Moderado,Neutro,Alto,Grão,Milho
98,35,18,"23,8","74,83","6,25","91,76","84,61",Moderado,Neutro,Alto,Grão,Milho
76,57,18,"18,98","74,53","6,09","94,26","88,35",Moderado,Neutro,Alto,Grão,Milho
99,56,17,"24,11","73,13","6,23","71,08","84,47",Moderado,Neutro,Alto,Grão,Milho
60,44,23,"24,79","70,05","5,72","76,73","87,33",Moderado,Neutro,Alto,Grão,Milho
74,48,17,"21,63","60,28","6,43","69,22","91,84",Moderado,Neutro,Alto,Grão,Milho
89,60,17,"25,38","57,21","5,98","101,7","83,69",Moderado,Neutro,Alto,Grão,Milho
69,51,23,"22,22","72,85","6,8","106,62","88,13",Moderado,Neutro,Alto,Grão,Milho
96,46,22,"20,58","69,0","6,5","66,29","87,41",Moderado,Neutro,Alto,Grão,Milho
61,60,15,"24,88","68,74","6,27","91,26","84,33",Moderado,Neutro,Alto,Grão,Milho
74,58,18,"20,04","56,36","6,73","109,02","85,64",Moderado,Neutro,Alto,Grão,Milho
74,43,23,"25,95","61,89","6,33","99,58","88,24",Moderado,Neutro,Alto,Grão,Milho
63,43,17,"19,29","65,47","6,81","71,32","87,57",Moderado,Neutro,Alto,Grão,Milho
99,36,20,"20,58","65,35","6,67","78,35","88,32",Moderado,Neutro,Alto,Grão,Milho
77,36,23,"24,71","56,73","6,65","88,45","88,26",Moderado,Neutro,Alto,Grão,Milho
87,60,23,"20,27","63,91","6,44","62,5","85,08",Moderado,Neutro,Alto,Grão,Milho
60,38,17,"18,42","64,24","6,47","76,41","85,44",Moderado,Neutro,Alto,Grão,Milho
94,54,17,"23,39","61,74","5,87","107,32","86,22",Moderado,Neutro,Alto,Grão,Milho
95,38,22,"19,85","61,25","5,73","100,77","84,83",Moderado,Neutro,Alto,Grão,Milho
84,44,21,"21,87","61,91","5,85","107,27","90,49",Moderado,Neutro,Alto,Grão,Milho
77,58,19,"22,81","56,51","5,79","101,6","90,06",Moderado,Neutro,Alto,Grão,Milho
66,44,20,"19,08","69,02","6,74","80,73","91,51",Moderado,Neutro,Alto,Grão,Milho
63,35,16,"22,03","65,36","6,27","83,73","88,48",Moderado,Neutro,Alto,Grão,Milho
79,45,20,"23,81","59,25","5,72","89,96","94,8",Moderado,Neutro,Alto,Grão,Milho
72,60,25,"18,53","69,03","5,77","88,1","85,86",Moderado,Neutro,Alto,Grão,Milho
67,51,24,"23,5","61,32","5,58","64,78","87,54",Moderado,Neutro,Alto,Grão,Milho
86,36,24,"26,55","72,89","5,79","73,34","83,07",Moderado,Neutro,Alto,Grão,Milho
76,48,18,"19,3","69,63","5,78","83,21","94,2",Moderado,Neutro,Alto,Grão,Milho
75,53,18,"20,69","59,44","6,86","103,65","89,91",Moderado,Neutro,Alto,Grão,Milho
81,45,23,"19,33","68,03","6,19","84,23","92,28",Moderado,Neutro,Alto,Grão,Milho
73,45,21,"24,61","73,59","6,64","96,59","90,62",Moderado,Neutro,Alto,Grão,Milho
71,35,24,"22,27","59,52","5,83","67,97","85,56",Moderado,Neutro,Alto,Grão,Milho
96,54,22,"25,7","61,33","6,96","83,21","88,58",Moderado,Neutro,Alto,Grão,Milho
99,39,18,"19,2","68,31","6,11","87,85","86,89",Moderado,Neutro,Alto,Grão,Milho
62,48,20,"21,7","60,47","6,71","95,71","92,45",Moderado,Neutro,Alto,Grão,Milho
86,37,16,"20,52","59,21","5,56","67,61","84,84",Moderado,Neutro,Alto,Grão,Milho
94,50,19,"23,3","73,63","5,87","97,59","89,93",Moderado,Neutro,Alto,Grão,Milho
76,39,24,"24,25","55,65","7,0","64,24","84,99",Moderado,Neutro,Alto,Grão,Milho
77,52,17,"24,86","65,74","5,71","75,82","92,5",Moderado,Neutro,Alto,Grão,Milho
74,39,23,"22,63","65,77","6,78","88,17","92,22",Moderado,Neutro,Alto,Grão,Milho
81,49,20,"18,04","60,61","5,51","104,23","90,72",Moderado,Neutro,Alto,Grão,Milho
63,42,21,"23,26","72,33","5,8","67,1","87,63",Moderado,Neutro,Alto,Grão,Milho
99,38,21,"22,88","71,6","6,35","67,73","85,45",Moderado,Neutro,Alto,Grão,Milho
90,52,25,"25,97","69,36","6,82","103,22","84,38",Moderado,Neutro,Alto,Grão,Milho
68,40,19,"26,14","66,21","6,66","107,24","86,84",Moderado,Neutro,Alto,Grão,Milho
60,57,24,"18,66","61,55","6,12","75,03","84,11",Moderado,Neutro,Alto,Grão,Milho
71,52,18,"25,11","55,98","5,79","78,16","90,16",Moderado,Neutro,Alto,Grão,Milho
61,59,17,"23,34","59,25","6,47","105,01","84,24",Moderado,Neutro,Alto,Grão,Milho
88,38,15,"25,08","65,92","6,46","62,49","83,58",Moderado,Neutro,Alto,Grão,Milho
65,60,22,"25,37","72,52","6,61","107,91","82,76",Moderado,Neutro,Alto,Grão,Milho
78,37,22,"25,34","63,32","6,33","74,52","89,49",Moderado,Neutro,Alto,Grão,Milho
78,58,15,"25,01","67,82","6,53","62,91","85,68",Moderado,Neutro,Alto,Grão,Milho
92,60,23,"18,67","71,52","5,72","69,93","82,94",Moderado,Neutro,Alto,Grão,Milho
79,59,17,"20,38","63,74","6,64","108,51","87,24",Moderado,Neutro,Alto,Grão,Milho
91,55,15,"18,09","72,61","6,38","78,96","84,6",Moderado,Neutro,Alto,Grão,Milho
76,51,18,"26,17","71,96","6,25","79,85","91,69",Moderado,Neutro,Alto,Grão,Milho
87,48,25,"18,65","61,38","6,66","93,62","88,01",Moderado,Neutro,Alto,Grão,Milho
71,60,22,"26,07","59,37","6,2","85,76","88,31",Moderado,Neutro,Alto,Grão,Milho
90,57,24,"18,93","72,8","6,16","82,34","85,86",Moderado,Neutro,Alto,Grão,Milho
67,35,22,"23,31","63,25","6,39","108,76","85,33",Moderado,Neutro,Alto,Grão,Milho
60,54,19,"18,75","62,5","6,42","70,23","87,38",Moderado,Neutro,Alto,Grão,Milho
83,58,23,"19,74","59,66","6,38","65,51","85,74",Moderado,Neutro,Alto,Grão,Milho
83,57,19,"25,73","70,75","6,88","98,74","88,58",Moderado,Neutro,Alto,Grão,Milho
40,72,77,"17,02","16,99","7,49","88,55","94,79",Moderado,Neutro,Alto,Grão,Grão-de-bico
23,72,84,"19,02","17,13","6,92","79,93","90,59",Moderado,Neutro,Alto,Grão,Grão-de-bico
39,58,85,"17,89","15,41","6,0","68,55","91,38",Moderado,Neutro,Alto,Grão,Grão-de-bico
22,72,85,"18,87","15,66","6,39","88,51","87,44",Moderado,Neutro,Alto,Grão,Grão-de-bico
36,67,77,"18,37","19,56","7,15","79,26","94,22",Moderado,Neutro,Alto,Grão,Grão-de-bico
32,73,81,"20,45","15,4","5,99","92,68","89,67",Moderado,Neutro,Alto,Grão,Grão-de-bico
58,70,84,"20,65","16,61","6,23","74,66","88,22",Moderado,Neutro,Alto,Grão,Grão-de-bico
59,70,84,"17,33","18,75","7,55","82,62","86,98",Moderado,Alcalino,Alto,Grão,Grão-de-bico
42,62,75,"18,18","18,9","7,01","81,85","93,76",Moderado,Neutro,Alto,Grão,Grão-de-bico
28,74,81,"18,01","18,31","8,75","81,99","90,63",Moderado,Alcalino,Alto,Grão,Grão-de-bico
58,66,79,"20,99","19,33","8,72","93,55","84,8",Moderado,Alcalino,Alto,Grão,Grão-de-bico
43,66,79,"19,46","15,23","7,98","74,59","94,89",Moderado,Alcalino,Alto,Grão,Grão-de-bico
58,63,81,"19,81","14,7","6,52","78,97","87,96",Moderado,Neutro,Alto,Grão,Grão-de-bico
23,62,85,"18,97","19,52","8,49","80,71","87,56",Moderado,Alcalino,Alto,Grão,Grão-de-bico
27,62,77,"18,2","14,71","6,58","70,18","87,75",Moderado,Neutro,Alto,Grão,Grão-de-bico
28,72,84,"18,73","19,18","6,48","71,58","88,9",Moderado,Neutro,Alto,Grão,Grão-de-bico
50,56,76,"21,0","19,86","7,97","73,51","85,96",Moderado,Alcalino,Alto,Grão,Grão-de-bico
39,71,84,"20,28","16,4","8,14","82,52","95,7",Moderado,Alcalino,Alto,Grão,Grão-de-bico
25,78,76,"17,48","15,76","7,23","66,97","85,36",Moderado,Neutro,Alto,Grão,Grão-de-bico
31,70,77,"20,89","14,32","6,49","90,46","88,61",Moderado,Neutro,Alto,Grão,Grão-de-bico
26,80,83,"17,08","16,15","7,53","71,31","86,39",Moderado,Alcalino,Alto,Grão,Grão-de-bico
25,68,77,"20,09","15,11","7,7","85,75","89,08",Moderado,Alcalino,Alto,Grão,Grão-de-bico
31,78,76,"17,57","15,0","8,52","89,31","87,98",Moderado,Alcalino,Alto,Grão,Grão-de-bico
60,68,83,"19,12","18,43","6,62","85,53","88,12",Moderado,Neutro,Alto,Grão,Grão-de-bico
59,62,83,"18,58","19,22","8,1","72,95","86,0",Moderado,Alcalino,Alto,Grão,Grão-de-bico
22,67,78,"17,17","14,42","6,2","72,33","86,36",Moderado,Neutro,Alto,Grão,Grão-de-bico
36,65,80,"18,29","16,68","6,05","74,87","95,82",Moderado,Neutro,Alto,Grão,Grão-de-bico
59,60,84,"19,03","18,67","7,69","94,71","84,39",Moderado,Alcalino,Alto,Grão,Grão-de-bico
54,77,85,"17,14","17,07","7,83","83,75","88,39",Moderado,Alcalino,Alto,Grão,Grão-de-bico
43,68,81,"17,48","17,93","6,76","78,92","95,99",Moderado,Neutro,Alto,Grão,Grão-de-bico
28,76,82,"20,57","14,26","6,65","83,76","87,68",Moderado,Neutro,Alto,Grão,Grão-de-bico
42,79,85,"17,22","15,82","6,13","76,58","92,18",Moderado,Neutro,Alto,Grão,Grão-de-bico
32,60,83,"19,69","19,44","8,83","91,76","88,37",Moderado,Alcalino,Alto,Grão,Grão-de-bico
22,78,76,"17,85","19,09","8,62","76,32","85,27",Moderado,Alcalino,Alto,Grão,Grão-de-bico
31,79,75,"18,82","16,11","8,2","89,73","89,64",Moderado,Alcalino,Alto,Grão,Grão-de-bico
28,58,81,"17,48","16,54","6,18","93,35","88,03",Moderado,Neutro,Alto,Grão,Grão-de-bico
57,58,77,"18,73","17,58","7,98","81,2","88,88",Moderado,Alcalino,Alto,Grão,Grão-de-bico
49,55,78,"18,66","16,18","7,86","81,71","91,55",Moderado,Alcalino,Alto,Grão,Grão-de-bico
46,76,77,"18,24","19,69","6,97","83,75","90,79",Moderado,Neutro,Alto,Grão,Grão-de-bico
54,61,77,"18,81","15,22","6,21","77,54","89,74",Moderado,Neutro,Alto,Grão,Grão-de-bico
38,60,76,"18,65","17,81","8,87","77,93","94,82",Moderado,Alcalino,Alto,Grão,Grão-de-bico
59,55,79,"20,37","16,9","8,77","82,25","86,98",Moderado,Alcalino,Alto,Grão,Grão-de-bico
36,76,75,"18,38","16,64","8,74","70,52","92,62",Moderado,Alcalino,Alto,Grão,Grão-de-bico
57,68,81,"17,17","17,3","8,08","72,79","89,24",Moderado,Alcalino,Alto,Grão,Grão-de-bico
35,66,81,"19,37","15,77","6,14","85,25","94,62",Moderado,Neutro,Alto,Grão,Grão-de-bico
35,64,78,"17,93","14,27","7,5","85,37","92,05",Moderado,Neutro,Alto,Grão,Grão-de-bico
52,60,79,"19,45","18,23","8,38","75,63","90,16",Moderado,Alcalino,Alto,Grão,Grão-de-bico
27,76,83,"19,13","14,92","6,29","89,62","87,76",Moderado,Neutro,Alto,Grão,Grão-de-bico
57,60,84,"19,1","17,26","6,59","75,49","88,66",Moderado,Neutro,Alto,Grão,Grão-de-bico
52,68,78,"17,49","16,96","6,9","86,05","92,03",Moderado,Neutro,Alto,Grão,Grão-de-bico
43,79,79,"19,41","18,98","7,81","80,25","93,23",Moderado,Alcalino,Alto,Grão,Grão-de-bico
44,74,85,"20,19","19,64","7,15","78,26","91,5",Moderado,Neutro,Alto,Grão,Grão-de-bico
24,55,78,"17,3","15,15","6,65","75,58","85,75",Moderado,Neutro,Alto,Grão,Grão-de-bico
29,77,75,"17,5","15,48","7,78","72,94","88,04",Moderado,Alcalino,Alto,Grão,Grão-de-bico
20,60,78,"18,17","14,7","6,36","90,78","84,34",Moderado,Neutro,Alto,Grão,Grão-de-bico
56,67,78,"17,57","16,72","8,26","77,82","91,04",Moderado,Alcalino,Alto,Grão,Grão-de-bico
37,66,85,"20,93","18,91","6,46","78,07","92,96",Moderado,Neutro,Alto,Grão,Grão-de-bico
49,71,76,"19,71","17,64","6,61","85,58","92,03",Moderado,Neutro,Alto,Grão,Grão-de-bico
59,69,80,"19,08","17,87","8,17","69,41","88,43",Moderado,Alcalino,Alto,Grão,Grão-de-bico
20,79,77,"18,55","16,03","7,65","76,33","86,4",Moderado,Alcalino,Alto,Grão,Grão-de-bico
24,56,85,"18,2","17,41","6,55","80,64","88,09",Moderado,Neutro,Alto,Grão,Grão-de-bico
51,72,75,"18,89","14,99","7,1","80,11","91,53",Moderado,Neutro,Alto,Grão,Grão-de-bico
57,73,85,"18,49","14,72","7,36","91,95","85,7",Moderado,Neutro,Alto,Grão,Grão-de-bico
22,64,82,"19,49","17,17","6,47","87,51","88,71",Moderado,Neutro,Alto,Grão,Grão-de-bico
52,73,79,"17,26","18,75","7,84","94,0","87,38",Moderado,Alcalino,Alto,Grão,Grão-de-bico
29,75,75,"19,62","18,71","7,06","88,46","88,35",Moderado,Neutro,Alto,Grão,Grão-de-bico
44,59,78,"20,68","19,85","7,6","84,78","90,28",Moderado,Alcalino,Alto,Grão,Grão-de-bico
41,69,82,"20,02","16,63","6,72","68,98","95,34",Moderado,Neutro,Alto,Grão,Grão-de-bico
52,56,85,"20,12","14,44","6,82","88,68","85,8",Moderado,Neutro,Alto,Grão,Grão-de-bico
34,76,80,"20,66","15,85","7,99","65,24","89,77",Moderado,Alcalino,Alto,Grão,Grão-de-bico
42,74,83,"19,26","14,28","7,55","65,78","91,17",Moderado,Alcalino,Alto,Grão,Grão-de-bico
34,71,79,"17,93","15,86","7,73","74,64","93,54",Moderado,Alcalino,Alto,Grão,Grão-de-bico
